No,Name (best-effort from OCR),Area_ha (OCR),Declaration_date (OCR),Year,"Raw_OCR_entry (verbatim, for verification)"
1,Bagiai,"13,760",27 January 1977,1977,"1 Bagiai WMA Karkar Island, Wildlife 27 January 1977 Madang Province Management Area 13,760 ha."
2,"Baiyer River Baiyer, Western",,13 January 1968,1968,"2 Baiyer River Baiyer, Western National Park 741 13 January 1968 Sanctuary Highlands Province | ha."
3,Balek,470,4 August 1977,1977,3 Balek Wildlife Madang Province Wildlife 4 August 1977 Sanctuary Management Area 470 ha.
4,Baniara Island Milne Bay,200,13 February 1975,1975,4 Baniara Island Milne Bay Province | Wildlife 13 February 1975 Management Area 200 ha.
5,Cape Wom East Sepik,165.42,18 October 1973,1973,5 Cape Wom East Sepik Province | National Park 18 October 1973 Memorial Park 165.42 ha.
6,Crown Island Madang,"58,969",24 November 1993,1993,"6 Crown Island Madang Province Wildlife 24 November 1993 Management 58,969 ha."
7,Crater Mountain | Eastern Highlands,"27,000",25 November 1993,1993,"7 Crater Mountain | Eastern Highlands, | Wildlife 25 November 1993 Simbu, Gulf and Management Area Madang Provinces | 27,000 ha."
8,Garu West New Britain,"8,700",9 December 1976,1976,"8 Garu West New Britain | Wildlife 9 December 1976 Province Management Area 8,700 ha. ~24- Protected Areas"
9,Hombareta Oro,130,6 March 1997,1997,9 Hombareta Oro Province Wildlife 6 March 1997 Management Area 130 ha.
10,Horseshoe,395.9,9 June 1981,1981,10 | Horseshoe Reef | Central Province Wildlife 9 June 1981 Management Area 395.9 ha.
11,Hunstien,,13 November 1997,1997,"11 | Hunstien Ranges | East Sepik Wildlife 13 November 1997 Province Management Area 220,000"
12,Iomare Central,"3,827.50",24 December 1987,1987,"12 | Iomare Central Province Wildlife 24 December 1987 Management Area 3,827.50 ha."
13,Jimi (Ruti),"4,189",31 October 1991,1991,"13 | Jimi (Ruti) Valley | Jiwaka Province National Park 31 October 1991 National Park 4,189 ha."
14,Kamiali Morobe,"47,413",19 September 1996,1996,"14 | Kamiali Morobe Province Wildlife 19 September 1996 Management Area 47,413 ha."
15,Kavakuna,,27 April 1997,1997,15 | Kavakuna Caves | East New Britain Wildlife 27 April 1997 Province Management Area
16,Klampun East New Britain,"5,200",4 September 2003,2003,"16 | Klampun East New Britain Wildlife 4 September 2003 Province Management Area 5,200 ha."
17,Kokoda,,24 September 1981,1981,17 | Kokoda Memorial | Oro Province Memorial Park 24 September 1981 Park
18,Kokoda Historical | Central and Oro Reserved under 10 September 2015,,10 September 2015,2015,18 | Kokoda Historical | Central and Oro Reserved under 10 September 2015 Track Provinces Mining Act 1992
19,Lake Lavu Milne Bay,"2,640",5 March 1981,1981,"19 | Lake Lavu Milne Bay Wildlife 5 March 1981 Province Management Area 2,640 ha."
20,Lake Kutubu Southern,"4,924",25 June 1992,1992,"20 | Lake Kutubu Southern Wildlife 25 June 1992 Highlands Province | Management Area 4,924 ha."
21,Laugum,72.95,26 January 2006,2006,21 | Laugum Marine Madang Province | Wildlife 26 January 2006 Management Area 72.95 ha.
22,Libano-Arisai Southern,"3,964",7 February 2008,2008,"22 | Libano-Arisai Southern Wildlife 7 February 2008 Highlands Province | Management Area 3,964 ha."
23,Libano-Hose Southern,"7,736",7 February 2008,2008,"23 | Libano-Hose Southern Wildlife 7 February 2008 Highlands Province | Management Area 7,736 ha."
24,Lihir Island New Ireland,"1,980",6 June 1991,1991,"24 | Lihir Island New Ireland Wildlife 6 June 1991 Province Management Area 1,980 ha."
25,Lorko West New Britain,,10 October 1991,1991,25 | Lorko West New Britain | National Park 100 | 10 October 1991 Province ha.
26,Maza Western,"184,230",21 December 1978,1978,"26 | Maza Western Province | Wildlife 21 December 1978 Management Area 184,230 ha. -~ 25 - Protected Areas"
27,McAdams Morobe,"2,081",22 February 1962,1962,"27 | McAdams Morobe Province National Park 22 February 1962 2,081 ha."
28,Moitaka,42,27 June 1989,1989,28 | Moitaka National Capital National Park 27 June 1989 Sanctuary District 42 ha.
29,Mojirau East Sepik,"5,079",22 June 1978,1978,"29 | Mojirau East Sepik Wildlife 22 June 1978 Province Management Area 5,079 ha."
30,Mount Eastern Highlands,77.40,27 July 1989,1989,30 | Mount Eastern Highlands | National Park 27 July 1989 Gahavisuka Province 77.40 ha.
31,Mount Kaindi Morobe,"1,502",15 March 1990,1990,"31 | Mount Kaindi Morobe Province Wildlife 15 March 1990 Management Area 1,502 ha."
32,Mount Susu Morobe,260,,,32 | Mount Susu Morobe Province Reserve 260 ha. -
33,Mount Wilhelm Simbu,817,17 May 1990,1990,33 | Mount Wilhelm Simbu Province National Park 17 May 1990 817 ha.
34,Namanatabu Central,29,15 March 1979,1979,34 | Namanatabu Central Province Reserve 29 ha. 15 March 1979
35,Nanuk Island East New Britain,12,9 December 1973,1973,35 | Nanuk Island East New Britain National Park 9 December 1973 Province 12 ha.
36,Ndolowa Manus,"5,850",28 March 1985,1985,"36 | Ndolowa Manus Province Wildlife 28 March 1985 Management Area 5,850 ha."
37,Neiru (Aird Hills) | Gulf,"3,984",24 December 1987,1987,"37 | Neiru (Aird Hills) | Gulf Province Wildlife 24 December 1987 Management Area 3,984 ha."
38,Nuserang Morobe,,9 October 1986,1986,38 | Nuserang Morobe Province Wildlife 9 October 1986 Management Area
39,Oia Mada Wara Milne Bay,"22,840",6 August 1981,1981,"39 | Oia Mada Wara Milne Bay Wildlife 6 August 1981 Province Management Area 22,840 ha."
40,Paga Hill Scenic,13.12,10 September 1987,1987,40 | Paga Hill Scenic | National Capital National Park 10 September 1987 Reserve District 13.12 ha.
41,Pirung Autonomous,"43,200",25 May 1989,1989,"41 | Pirung Autonomous Wildlife 25 May 1989 Region of Management Area Bougainville 43,200 ha."
42,Pokili West New Britain,"9,840",26 June 1975,1975,"42 | Pokili West New Britain | Wildlife 26 June 1975 Province Management Area 9,840 ha."
43,Ranba Madang,"41,922",30 June 1977,1977,"43 | Ranba Madang Province | Wildlife 30 June 1977 Management Area 41,922 ha."
44,Ranba,"15,724",4 August 1977,1977,"44 | Ranba Sanctuary | Madang Province | Wildlife 4 August 1977 Management Area 15,724 ha."
45,Sawataetae Milne Bay,700,30 June 1977,1977,45 | Sawataetae Milne Bay Wildlife 30 June 1977 Province Management Area 700 ha.
46,Sinum Island Southern,11.80,26 June 2006,2006,46 | Sinum Island Southern Wildlife 26 June 2006 Highlands Province Management Area 11.80 ha. -26- Protected Areas
